<<<<<<< HEAD
Name,city,state_code,Rank_USNewsWorldReport,TuitionFees,Undergrad_Enrollment,longitude,latitude,website,yearFounded,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
Princeton University,Princeton,NJ,1,45320,5402,-74.6591,40.3499,http://www.princeton.edu,1746,4,44871096,62,61
Harvard University,Cambridge,MA,2,47074,6699,-71.113,42.3747,http://www.harvard.edu,1636,5,54635593,72,57
University of Chicago,Chicago,IL,3,52491,5844,-87.6012,41.7902,http://www.uchicago.edu,1890,5,40317227,57,52
Yale University,New Haven,CT,3,49480,5532,-72.9234,41.314,http://www.yale.edu,1701,4,48430359,61,53
Columbia University,New York,NY,5,55056,6102,-73.9613,40.8065,http://www.columbia.edu,1754,6,44615007,58,54
Stanford University,Stanford,CA,5,47940,16999,-122.1689,37.4314,http://www.stanford.edu,1891,4,51328461,70,55
Massachusetts Institute of Technology,Cambridge,MA,7,48452,4527,-71.0935,42.359,http://web.mit.edu,1861,3,35299332,75,60
Duke University,Durham,NC,8,51265,6639,-78.9403,36.0014,http://www.duke.edu,1924,6,41087604,63,47
University of Pennsylvania,Philadelphia,PA,8,51464,9726,-75.1624,39.9523,http://www.upenn.edu,1740,6,59744979,57,47
Johns Hopkins University,Baltimore,MD,10,50410,6524,-76.6096,39.2906,http://www.jhu.edu,1876,6,41160533,65,57
Dartmouth College,Hanover,NH,11,51438,4307,-72.2895,43.7005,http://www.dartmouth.edu,1769,7,27997693,58,45
California Institute of Technology,Pasadena,CA,12,47577,1001,-118.1259,34.1359,http://www.caltech.edu,1891,3,6455026,74,57
Northwestern University,Evanston,IL,12,50855,8314,-87.6787,42.0497,http://www.northwestern.edu,1851,6,61176584,66,61
Brown University,Providence,RI,14,51367,6652,-71.4497,41.8582,http://www.brown.edu,1764,6,36177528,55,44
Cornell University,Ithaca,NY,15,50953,14315,-76.4845,42.4536,http://www.cornell.edu,1865,9,70971547,59,47
Rice University,Houston,TX,15,43918,3910,-95.3698,29.7605,http://www.rice.edu,1891,6,27486883,70,60
University of Notre Dame,Notre Dame,IN,15,49685,8462,-86.2392,41.7007,http://www.nd.edu,1842,9,50856461,68,56
Vanderbilt University,Nashville,TN,15,45610,6883,-86.8015,36.1503,http://www.vanderbilt.edu,1873,8,47391010,67,62
Washington University in St. Louis,St. Louis,MO,19,49770,7504,-90.3013,38.6478,http://www.wustl.edu,1853,7,39741443,54,46
Emory University,Atlanta,GA,20,47954,6867,-84.3257,33.7898,http://www.emory.edu,1836,9,34494686,58,53
Georgetown University,Washington,DC,20,50547,7562,-77.029,38.8991,http://www.georgetown.edu,1789,11,31716749,54,44
University of California--Berkeley,Berkeley,CA,20,40191,27496,-122.2591,37.872,https://www.berkeley.edu/,1868,,,,
University of Southern California,Los Angeles,CA,23,52217,18810,-118.2828,34.0192,http://www.usc.edu,1880,9,77361905,70,65
Carnegie Mellon University,Pittsburgh,PA,24,52040,6454,-79.9431,40.4446,http://www.cmu.edu,1900,5,29629565,60,50
University of California--Los Angeles,Los Angeles,CA,24,39518,29585,-122.2584,37.8719,https://www.ucla.edu/,1919,,,,
University of Virginia,Charlottesville,VA,24,45066,16736,-78.581,38.0787,http://www.virginia.edu,1819,15,34787367,60,39
Tufts University,Medford,MA,27,52430,5290,-71.1088,42.4198,http://www.tufts.edu,1852,10,26409169,44,38
University of Michigan--Ann Arbor,Ann Arbor,MI,27,43476,28312,-83.7382,42.278,https://umich.edu/,1817,,,,
Wake Forest University,Winston-Salem,NC,27,49308,4871,-80.274,36.1368,http://www.wfu.edu,1834,11,22194015,44,34
University of North Carolina--Chapel Hill,Chapel Hill,NC,30,33916,18415,-79.0468,35.9046,https://www.unc.edu/,1789,,,,
Boston College,Chestnut Hill,MA,31,51296,9192,-71.1646,42.3261,http://www.bc.edu,1863,14,48015609,56,45
College of William & Mary,Williamsburg,VA,32,41718,6301,-76.7166,37.2711,https://www.wm.edu/,1693,,,,
University of Rochester,Rochester,NY,32,50142,6304,-77.6199,43.133,http://www.rochester.edu,1850,10,47735154,83,82
Brandeis University,Waltham,MA,34,51570,3621,-71.255,42.3659,http://www.brandeis.edu,1948,10,19437305,72,69
Georgia Institute of Technology,Atlanta,GA,34,32404,15142,-84.3944,33.7713,http://www.gatech.edu,1885,19,27952964,73,70
New York University,New York,NY,36,49062,25722,-73.9972,40.7298,http://www.nyu.edu,1831,8,98732499,65,60
Case Western Reserve University,Cleveland,OH,37,46006,5121,-81.609,41.506,http://www.case.edu,1826,11,40564474,90,88
University of California--Santa Barbara,Santa Barbara,CA,37,40704,20607,-119.8489,34.414,https://www.ucsb.edu/,1891,,,,
